4,H-CC,i-cube Meeting Room,i-cube ?????????????,2015-05-27 00:00:00,2015-09-01 00:00:00,,0
6,M-Y,Concrete Placement - CEZ II CY,CEZ II ??????? ??????????,2014-10-22 00:00:00,2015-09-01 00:00:00,,0
4,H-BT,Roof renovation,??????,2013-11-09 00:00:00,2015-08-30 00:00:00,,0
3,S-W,Roof renovation,??????,2013-11-09 00:00:00,2015-08-30 00:00:00,,0
2,W-BE,Roof renovation,??????,2013-11-09 00:00:00,2015-08-30 00:00:00,,0
2,W-BF,Restoration Work - Kiln Dry Room,???????,2014-03-25 00:00:00,2015-08-30 00:00:00,,0
4,H-BY,Mezzanine - IUB loading area,IUB??????????????,2014-06-06 00:00:00,2015-01-31 00:00:00,,0
2,W-AY,4.0Ha Warehouse/Production Building,4.0Ha Wukong??/????,2012-10-27 00:00:00,2015-01-31 00:00:00,,0
6,M-O,Container Yard Extension,???????????,2013-04-24 00:00:00,2014-12-31 00:00:00,,0
2,W-AT,Precut Factory - Roof Repair,??????? - ????,2012-01-18 00:00:00,2014-12-31 00:00:00,,0
6,M-E,Residential - Land Dev.,?????? - ????,2010-03-19 00:00:00,2014-12-01 00:00:00,,0
6,M-K,Residential - house construction,?????? - ????,2012-01-18 00:00:00,2014-12-01 00:00:00,????,0
4,H-BX,Nagase warehouse - Modification,?????????,2014-06-06 00:00:00,2014-11-30 00:00:00,,0
1,R-G,Facilities renovation of Testing House 4,???? ??????,2013-11-11 00:00:00,2014-08-31 00:00:00,,0
4,H-BV,5.0Ha Training Room,5.0Ha ?????????????,2014-02-17 00:00:00,2014-06-30 00:00:00,,0
4,H-BQ,Additonal Boiler 15ton,????15ton ??????,2013-07-03 00:00:00,2014-06-30 00:00:00,,0
4,H-BW,CEZI Gate 3 Floodgate Construction,CEZI Gate 3 ????,2014-03-28 00:00:00,2014-05-15 00:00:00,,0
4,H-BR,6.5Ha WPC Production,6.5Ha WPC????,2013-07-09 00:00:00,2014-03-31 00:00:00,,0
4,H-BU,Installation of Cooling Tower,????????????,2013-12-09 00:00:00,2014-03-31 00:00:00,,0
2,W-BD,Gate - Flood Countermeasure Work,WKN?????????,2013-09-09 00:00:00,2014-02-15 00:00:00,,0
4,H-BP,Fire Hydrant,?????,2013-04-24 00:00:00,2014-02-09 00:00:00,,0
4,H-BN,Restoration Work - 1.6Ha Bldg,???? - 1.6Ha??,2013-01-11 00:00:00,2014-01-31 00:00:00,,0
4,H-BF,Stockyard Extension,?????????,2012-09-01 00:00:00,2014-01-30 00:00:00,,0
2,W-AP,Wood Processing Plant,0.65Ha ???? ????????,2011-04-25 00:00:00,2014-01-20 00:00:00,,0
3,S-V,Fire Hydrant,?????,2013-04-24 00:00:00,2013-12-31 00:00:00,,0
2,W-BA,Fire Prevention Water Tank ,????????,2013-02-14 00:00:00,2013-12-20 00:00:00,,0
2,W-BB,CCVT Monitor Room Extension,CCTV???????????,2013-02-14 00:00:00,2013-11-30 00:00:00,,0
1,R-E,Demolition Work / Former HRD Office,HRD????????,2013-03-18 00:00:00,2013-09-30 00:00:00,,0
1,R-F,SANKYO Office and Production,????????,2013-07-03 00:00:00,2013-09-30 00:00:00,,0
2,W-BC,Fire Hydrant,?????,2013-04-24 00:00:00,2013-09-09 00:00:00,,0
2,W-AV,Bldg C & Unloading - Modification for new glass machine ,Bldg C & Unloading???????for?????????,2012-02-24 00:00:00,2013-06-20 00:00:00,,0
4,H-BL,Restoration Work,????,2012-10-22 00:00:00,2013-06-04 00:00:00,,0
3,S-U,Restoration Work,????,2012-10-22 00:00:00,2013-06-04 00:00:00,,0
2,W-AX,Restoration Work,????,2012-10-22 00:00:00,2013-06-04 00:00:00,,0
4,H-BC,Foundation Work for New Ceramic Machine,????????????????,2012-06-19 00:00:00,2013-04-22 00:00:00,,0
4,H-BI,6.1Ha H.R.D. Office,6.1Ha H.R.D.???,2012-09-04 00:00:00,2013-04-17 00:00:00,,0
4,H-BE,Foundation Work for New Siding Machine,?????????????????,2012-06-19 00:00:00,2013-04-17 00:00:00,,0
4,H-BB,6.5Ha I-Cube Office Extension,6.5Ha i-Cube??? ??,2012-03-30 00:00:00,2013-03-06 00:00:00,,0
4,H-BD,6.5Ha Elevated Walkway & Overpass,6.5Ha ??????????,2012-09-01 00:00:00,2013-03-03 00:00:00,????????2012/09/01,0
5,P-B,Restoration Work,????,2012-10-22 00:00:00,2013-02-28 00:00:00,,0
4,H-BM,Kiln Dry Room,???,2012-10-22 00:00:00,2013-02-01 00:00:00,,0
4,H-BG,5.0Ha Cemedine Office,5.0Ha ????????,2012-09-04 00:00:00,2013-01-04 00:00:00,????????????,0
2,W-AU,Sawmill Factory - Modification,???? - ????,2012-01-27 00:00:00,2012-12-20 00:00:00,,0
4,H-BK,5.0Ha Cemedine Production,5.0Ha ???????,2012-09-11 00:00:00,2012-12-18 00:00:00,???????????,0
2,W-AN,Powerplant Cooling Tower,???????????????,2010-11-08 00:00:00,2012-12-15 00:00:00,,0
4,H-AZ,6.1Ha Warehouse Building,6.1Ha i-Cube????,2012-01-28 00:00:00,2012-11-30 00:00:00,,0
